TaskID,Arrival,duration,deadline
1,0,6.4545,250
2,0.001,30.1303,250.001
3,0.002,0.3437,250.002
4,0.003,0.1022,250.003
5,0.004,5.7349,250.004
6,0.004,5.7557,250.004
7,0.004,5.7974,250.004
8,0.004,5.8807,250.004
9,0.004,6.0472,250.004
10,0.004,4.3071,250.004
11,0.004,7.7672,250.004
12,0.004,14.6875,250.004
13,0.005,7.183,250.005
14,0.005,7.3999,250.005
15,0.005,7.8337,250.005
16,0.005,8.7012,250.005
17,0.005,8.7012,250.005
18,0.006,8.1264,250.006
19,0.006,8.1264,250.006
20,0.006,8.4815,250.006
21,0.006,9.1918,250.006
22,0.006,9.1918,250.006
23,250,3.3671,750
24,250.001,3.3671,750.001
25,250.002,3.3671,750.002
26,250.003,3.3671,750.003
27,250.004,3.3671,750.004
28,250.005,3.217,500.005
29,250.005,3.5179,500.005
30,250.006,3.6363,500.006
31,250.007,5.1914,500.007
32,250.008,0.1496,500.008
33,1750.01,3.1913,3750.01
34,1750.01,5.1122,3750.01
35,1750.05,0.5047,3750.05
36,1750.055,0.5906,3750.055
37,5750,2.4799,11750
38,5750.01,0.199,11750.01
39,5750.02,0.6898,11750.02
